Date;Time;Latitude;Longitude;ug/m3
15/02/2020;12:42:59;-6.972.689;107.635.192;3466279
15/02/2020;12:43:00;-6.972.689;107.635.192;3458728
15/02/2020;12:43:01;-6.972.688;107.635.131;3436077
15/02/2020;12:43:02;-6.972.688;107.635.131;3443628
15/02/2020;12:43:03;-6.972.680;107.635.070;3443628
15/02/2020;12:43:04;-6.972.680;107.635.070;3436077
15/02/2020;12:43:05;-6.972.667;107.635.009;3436077
15/02/2020;12:43:06;-6.972.667;107.635.009;3428529
15/02/2020;12:43:07;-6.972.660;107.634.963;3420978
15/02/2020;12:43:08;-6.972.660;107.634.963;3443628
15/02/2020;12:43:09;-6.972.654;107.634.902;3466279
15/02/2020;12:43:10;-6.972.654;107.634.902;3488929
15/02/2020;12:43:11;-6.972.646;107.634.849;3511580
15/02/2020;12:43:12;-6.972.646;107.634.849;3534230
15/02/2020;12:43:13;-6.972.643;107.634.803;3556881
15/02/2020;12:43:14;-6.972.643;107.634.803;3579531
15/02/2020;12:43:15;-6.972.640;107.634.757;3602182
15/02/2020;12:43:16;-6.972.640;107.634.757;3730542
15/02/2020;12:43:17;-6.972.632;107.634.719;3655037
15/02/2020;12:43:18;-6.972.632;107.634.719;3587086
15/02/2020;12:43:19;-6.972.630;107.634.666;3519132
15/02/2020;12:43:20;-6.972.630;107.634.666;3451180
15/02/2020;12:43:21;-6.972.611;107.634.635;3383228
15/02/2020;12:43:22;-6.972.611;107.634.635;3315275
15/02/2020;12:43:23;-6.972.599;107.634.597;3247323
15/02/2020;12:43:24;-6.972.599;107.634.597;3179370
15/02/2020;12:43:25;-6.972.586;107.634.544;3111418
15/02/2020;12:43:26;-6.972.586;107.634.544;3043465
15/02/2020;12:43:27;-6.972.566;107.634.490;2975513
15/02/2020;12:43:28;-6.972.566;107.634.490;3511582
15/02/2020;12:43:29;-6.972.551;107.634.445;3519132
15/02/2020;12:43:30;-6.972.551;107.634.445;3526681
15/02/2020;12:43:31;-6.972.554;107.634.391;3519132
15/02/2020;12:43:32;-6.972.554;107.634.391;3526681
15/02/2020;12:43:33;-6.972.555;107.634.346;3541782
15/02/2020;12:43:34;-6.972.555;107.634.346;3556884
15/02/2020;12:43:35;-6.972.587;107.634.292;3564434
15/02/2020;12:43:36;-6.972.587;107.634.292;3534232
15/02/2020;12:43:37;-6.972.605;107.634.254;3519132
15/02/2020;12:43:38;-6.972.605;107.634.254;3511582
15/02/2020;12:43:39;-6.972.602;107.634.223;3498999
15/02/2020;12:43:40;-6.972.602;107.634.223;3487674
15/02/2020;12:43:41;-6.972.616;107.634.178;3476349
15/02/2020;12:43:42;-6.972.616;107.634.178;3465024
15/02/2020;12:43:43;-6.972.635;107.634.140;3453699
15/02/2020;12:43:44;-6.972.635;107.634.140;3442374
15/02/2020;12:43:45;-6.972.667;107.634.109;3692791
15/02/2020;12:43:46;-6.972.667;107.634.109;3594635
15/02/2020;12:43:47;-6.972.692;107.634.078;3541782
15/02/2020;12:43:48;-6.972.692;107.634.078;3556884
15/02/2020;12:43:49;-6.972.727;107.634.063;3685239
15/02/2020;12:43:50;-6.972.727;107.634.063;3655037
15/02/2020;12:43:51;-6.972.763;107.634.040;3617288
